user,text,favorite_count,retweet_count,created_at
seawatch_intl,"#Seabird2 spotted 2 boats with about 55 people in distress that @alarm_phone already informed authorities about yesterday. Nevertheless, #Malta ordered a nearby vessel not to rescue. This is unacceptable: those in distress must be rescued immediately. https://t.co/K7zd6q2Efh https://t.co/8zqyPfFvMQ",36,16,2023-02-20 19:08:06+00:00
seawatch_intl,"Our guests spend days, sometimes weeks, on board during our rescue operations. The weather on the open sea is often rough and cold, and the tent allows us to provide a minimum of protection from it.

Support us now to get the #SeaWatch5 ready to rescue: https://t.co/HlelUynAoj",30,10,2023-02-20 16:24:44+00:00
seawatch_intl,"The reconstruction of our #SeaWatch5 in the shipyard is progressing in big steps. We are covering the entire deck area with a large tent construction. Hundreds of steel struts will later form the roof and walls, allowing us to protect the whole deck from the elements. https://t.co/tP02zJyVsb",76,16,2023-02-20 16:24:05+00:00
seawatch_intl,The Italian government: working hard to finance and support human rights violations in Libya. https://t.co/e1vqyh39KJ,79,30,2023-02-20 14:21:45+00:00
seawatch_intl,"Our rescue operations take place outside Libyan waters, and as a rule, outside this contiguous zone.

You can find all our #FAQs on our website: https://t.co/ZTkETg6PLH",14,2,2023-02-18 14:21:55+00:00
seawatch_intl,"Civil rescue ships in the central Mediterranean operate in int. waters north of Libya. The territorial waters extend 12 nautical miles off the shoreline. Beyond them lies the so-called contiguous zone up to 24 nm, in which the state has certain rights, e.g., criminal prosecution. https://t.co/mPGnaQBkyG",70,22,2023-02-18 14:21:38+00:00
seawatch_intl,"@volker_turk Türk calls on the Italian government to withdraw the proposed law - we can only agree!

Here you can find the press release of @UNHumanRights with more information: https://t.co/aSumYgupxv",11,4,2023-02-17 14:47:36+00:00
seawatch_intl,"@volker_turk A law that would “effectively punish both migrants and those who seek to help them.” @volker_turk also mentioned the increased risk of interceptions and illegal #pullbacks to #Libya - which is not a safe port, as the #UN Human Rights Office repeatedly states. https://t.co/tynnFxFMcJ",22,6,2023-02-17 14:47:04+00:00
seawatch_intl,"The United Nations High Commissioner for Human Rights, @volker_turk, joins international condemnation of the Italian government decree, which the Italian parliament voted Wednesday to turn into law. https://t.co/S3zldjtQ7Q",34,10,2023-02-17 14:46:26+00:00
seawatch_intl,"At the same time over the last years there are significantly more illegal returns to #Libya by the so-called Libyan Coast Guard.

You can find all our FAQs on our website: https://t.co/ZTkETg6PLH",11,3,2023-02-17 10:05:24+00:00
seawatch_intl,"The #EU has over 450 million inhabitants. The arriving people seeking protection thus represent a small percentage of the people living in the EU.
The absolute numbers of arrivals have been steadily decreasing in recent years.",16,7,2023-02-17 10:05:24+00:00
seawatch_intl,"Worldwide 80 million people are displaced. Since 2015, according to official figures, just under 1.9 million people have arrived in Europe by sea. Only a fraction of the people fleeing worldwide seek and find their way to Europe. #FAQs https://t.co/CgLiXrR6vI",78,25,2023-02-17 10:05:23+00:00
seawatch_intl,"While Italy's parliament voted to further restrict civil sea rescue yesterday, at least 73 people have lost their lives in a shipwreck in the Mediterranean.

The #ItalianDecree will ensure that there will be more loss of lives. It is an official incitement to let people drown: https://t.co/zDVxwW3PgO",247,100,2023-02-16 15:49:50+00:00
seawatch_intl,"Our thoughts are with the bereaved, friends, and their families.

As long as there are no safe escape routes from Libya and no effective sea rescue in the Mediterranean, people will continue to die. 

Their deaths could have been avoided.",33,5,2023-02-15 16:43:49+00:00
